  Tau,055319.6,+273644,4.58
δ Lep,055119.3,-205245,3.81
  Ori,055226.4,+015118,4.78
β Col,055057.6,-354606,3.12
γ Pic,054949.7,-561000,4.51
χ1Ori,055422.9,+201634,4.41
     ,055053.2,-520632,5.17
λ Col,055306.9,-334805,4.87
α Ori,055510.3,+072425,0.50
     ,055549.3,+201030,5.40
ε Dor,054953.6,-665404,5.11
δ Aur,055931.6,+541705,3.72
  Tau,055759.7,+255714,4.82
η Lep,055624.3,-141004,3.71
ξ Col,055529.9,-370715,4.97
β Aur,055931.7,+445651,1.90
π Aur,055956.1,+455613,4.26
σ Col,055620.9,-312257,5.50
     ,055450.2,-523807,5.29
θ Aur,055943.3,+371245,2.62
     ,055406.1,-630524,4.65
  Ori,055849.6,+003311,5.22
γ Col,055732.2,-351700,4.36
  Mon,055904.3,-093330,5.03
     ,060003.4,-030427,4.53
η Col,055908.8,-424855,3.96
μ Ori,060223.0,+093851,4.12
κ Men,055016.7,-792141,5.47
  Mon,060150.4,-103553,4.95
  Ori,060327.3,+194126,5.14
  Gem,060407.2,+231548,4.16
χ2Ori,060355.2,+200818,4.63
     ,060315.5,-261704,5.04
     ,060413.5,-064233,5.21
  Aur,060635.1,+382858,5.36
  Lep,060459.1,-162904,4.93
  Cam,060959.1,+585609,5.36
     ,060638.7,-041138,5.38
θ Lep,060609.3,-145607,4.67
ν Ori,060734.3,+144606,4.42
     ,060632.0,-230638,5.47
  Cam,061251.1,+654306,5.32
  Lep,060741.6,-190957,5.31
θ Col,060731.6,-371511,5.02
     ,060857.9,-222539,5.50
π2Col,060752.9,-420914,5.50
     ,060703.4,-620917,5.05
  Ori,061203.3,+160750,4.95
ξ Ori,061156.4,+141232,4.48
  Cam,061540.6,+595957,5.35
     ,061151.8,-063301,5.05
     ,061850.8,+691911,4.80
δ Pic,061017.9,-545807,4.81
  Lyn,061754.8,+613055,4.98
η Gem,061452.6,+223024,3.28
κ Aur,061522.7,+292953,4.35
  Ori,061450.9,+190923,5.20
ν Dor,060844.2,-685036,5.06
  Ori,061525.1,+160835,5.30
γ Mon,061451.3,-061629,3.98
  Ori,061545.0,+123304,5.33
  Lyn,061937.4,+590039,4.48
  Ori,061626.6,+121620,5.04
     ,061544.9,-134306,5.01
η2Dor,061115.0,-653522,5.01
  Ori,061706.6,+095633,5.39
κ Col,061633.1,-350826,4.37
     ,061741.7,-164857,5.14
α Men,061014.4,-744511,5.09
  Aur,062146.1,+532708,5.36
     ,061850.6,-092325,5.36
  Mon,061942.8,-074923,5.27
     ,061959.6,-025640,4.90
ζ CMa,062018.8,-300348,3.02
μ Gem,062257.6,+223049,2.88
ψ1Aur,062453.9,+491717,4.91
  Lyn,062648.9,+582502,5.21
β CMa,062242.0,-175721,1.98
δ Col,062206.8,-332611,3.85
ε Mon,062346.1,+043534,4.44
     ,062410.3,-113149,5.22
α Car,062357.1,-524145,-0.72
     ,062713.8,+001757,5.20
ν Gem,062857.8,+201244,4.15
  Mon,062757.6,-044544,5.06
β Mon,062849.0,-070158,4.60
β Mon,062849.5,-070204,5.40
λ CMa,062810.1,-323448,4.48
     ,063148.3,+113240,5.23
π2Dor,062528.6,-694125,5.38
     ,063123.0,-122330,5.15
     ,063150.1,-080929,5.43
     ,062949.1,-501421,5.27
  Mon,063254.2,+071959,4.50
